id,text,
1,Generalized weakness,
2,Malaise,
3,Chills,
4,Rigors,
5,Unexplained weight loss,
6,Unexplained weight gain,
7,Loss of appetite,
8,Increased appetite,
9,Excessive thirst (polydipsia),
10,Dehydration,
11,Edema,
12,Ascites,
13,Anasarca,
14,Pallor,
15,Cyanosis,
16,Flushing,
17,Hot flashes,
18,Cold intolerance,
19,Heat intolerance,
20,Clammy skin,
21,Body odor change,
22,Insomnia,
23,Hypersomnia,
24,Chronic fatigue syndrome,
25,Fibromyalgia pain,
26,Poor wound healing,
27,Recurrent infections,
28,Low-grade fever,
29,High fever,
30,Intermittent fever,
31,Feeling faint,
32,Lightheadedness,
33,Vertigo,
34,Syncope,
35,Near-syncope,
36,Acne,
37,Rosacea,
38,Eczema (atopic dermatitis),
39,Psoriasis,
40,Hives (urticaria),
41,Angioedema,
42,Blisters,
43,Boils (furuncles),
44,Carbuncles,
45,Cellulitis,
46,Impetigo,
47,Shingles (herpes zoster),
48,Cold sores (herpes labialis),
49,Warts,
50,Moles (new or changing),
51,Skin discoloration,
52,Petechiae,
53,Purpura,
54,Ecchymosis,
55,Easy bruising,
56,Photosensitivity,
57,Dandruff (seborrheic dermatitis),
58,Scalp itching,
59,Alopecia,
60,Hirsutism,
61,Nail pitting,
62,Nail clubbing,
63,Brittle nails,
64,Spoon nails (koilonychia),
65,Ingrown toenail,
66,Fungal nail infection,
67,Stretch marks (striae),
68,Skin ulcers,
69,Pressure sores,
70,Varicose veins,
71,Spider veins,
72,Headache (tension, cluster)
73,Numbness,
74,Tingling (paresthesia),
75,Pins and needles sensation,
76,Tremors,
77,Involuntary movements (dyskinesia),
78,Muscle twitching (fasciculations),
79,Muscle weakness,
80,Paralysis,
81,Balance problems (ataxia),
82,Clumsiness,
83,Difficulty walking,
84,Shuffling gait,
85,Foot drop,
86,Slurred speech (dysarthria),
87,Difficulty finding words (aphasia),
88,Confusion,
89,Disorientation,
90,Amnesia (memory loss),
91,Difficulty concentrating,
92,Brain fog,
93,Drowsiness,
94,Lethargy,
95,Stupor,
96,Coma,
97,Restless legs syndrome,
98,Neuralgia (nerve pain),
99,Sciatica,
100,Trigeminal neuralgia,
101,Bell's palsy (facial drooping),
102,Tinnitus (ringing in the ears),
103,Photophobia (light sensitivity),
104,Phonophobia (sound sensitivity),
105,Hallucinations (visual/auditory),
106,Delusions,
107,Aura,
108,Blackouts,
109,Eye redness,
110,Eye discharge,
111,Watery eyes,
112,Dry eyes,
113,Gritty sensation in eyes,
114,Floaters in vision,
115,Flashes of light in vision,
116,Tunnel vision,
117,Double vision (diplopia),
118,Halos around lights,
119,Eyelid twitching,
120,Drooping eyelid (ptosis),
121,Stye (hordeolum),
122,Chalazion,
123,Conjunctivitis (pink eye),
124,Earache (otalgia),
125,Ear discharge (otorrhea),
126,Feeling of fullness in the ear,
127,Muffled hearing,
128,Hearing loss (sudden or gradual),
129,Hyperacusis,
130,Nosebleeds (epistaxis),
131,Post-nasal drip,
132,Sneezing,
133,Loss of smell (anosmia),
134,Altered sense of smell (parosmia),
135,Facial pain/pressure,
136,Sinus congestion,
137,Dry mouth (xerostomia),
138,Excessive salivation,
139,Mouth sores (ulcers),
140,Canker sores,
141,Leukoplakia,
142,Bleeding gums,
143,Toothache,
144,Jaw pain,
145,TMJ (temporomandibular joint) pain,
146,Difficulty opening mouth (trismus),
147,Sore tongue (glossitis),
148,Swollen tongue,
149,Bad breath (halitosis),
150,Loss of taste (ageusia),
151,Altered sense of taste (dysgeusia),
152,Difficulty swallowing (dysphagia),
153,Painful swallowing (odynophagia),
154,Globus sensation,
155,Neck pain,
156,Neck stiffness,
157,Torticollis (wry neck),
158,Swollen glands in neck,
159,Goiter (enlarged thyroid),
160,Chest tightness,
161,Chest pressure,
162,Sharp chest pain,
163,Pleuritic chest pain,
164,Palpitations,
165,Irregular heartbeat,
166,Skipped heartbeats,
167,Bradycardia,
168,Tachycardia,
169,Orthostatic hypotension,
170,High blood pressure reading,
171,Low blood pressure reading,
172,Intermittent claudication,
173,Cold hands and feet,
174,Raynaud's phenomenon,
175,Wheezing,
176,Stridor,
177,Cough (dry or productive),
178,Chronic cough,
179,Barking cough,
180,Hemoptysis (coughing up blood),
181,Sputum production (phlegm),
182,Abnormal sputum color,
183,Rapid breathing (tachypnea),
184,Slow breathing (bradypnea),
185,Shallow breathing,
186,Hiccups (singultus),
187,Yawning excessively,
188,Apnea,
189,Sleep apnea symptoms,
190,Snoring,
191,Heartburn (acid reflux),
192,Indigestion (dyspepsia),
193,Belching/Burping,
194,Flatulence (gas),
195,Abdominal bloating,
196,Abdominal cramping,
197,Abdominal distension,
198,Nausea,
