id,text,
1,Acute Pharyngitis,
2,Acute Bronchitis,
3,Acute Sinusitis,
4,Upper Respiratory Tract Infection (Common Cold),
5,Influenza,
6,Pneumonia,
7,Urinary Tract Infection (UTI),
8,Gastroenteritis (Stomach Flu),
9,Otitis Media (Middle Ear Infection),
10,Otitis Externa (Swimmer's Ear),
11,Conjunctivitis (Pink Eye),
12,Cellulitis,
13,Abscess,
14,Tonsillitis,
15,Strep Throat,
16,Tuberculosis,
17,Dengue Fever,
18,Typhoid Fever,
19,Malaria,
20,Hepatitis A,
21,Hepatitis B,
22,Hepatitis C,
23,HIV/AIDS,
24,Herpes Simplex Virus (HSV) Infection,
25,Herpes Zoster (Shingles),
26,Varicella (Chickenpox),
27,Mononucleosis,
28,COVID-19,
29,Candidiasis (Yeast Infection),
30,Tinea Corporis (Ringworm),
31,Tinea Pedis (Athlete's Foot),
32,Scabies,
33,Pediculosis (Lice),
34,Bacterial Vaginosis,
35,Trichomoniasis,
36,Chlamydia,
37,Gonorrhea,
38,Syphilis,
39,Pyelonephritis (Kidney Infection),
40,Sepsis,
41,Meningitis,
42,Encephalitis,
43,Food Poisoning,
44,Clostridium difficile Infection,
45,MRSA Infection,
46,Impetigo,
47,Lyme Disease,
48,Giardiasis,
49,Essential Hypertension,
50,Secondary Hypertension,
51,Coronary Artery Disease (CAD),
52,Angina Pectoris,
53,Acute Myocardial Infarction (Heart Attack),
54,Heart Failure (Congestive Heart Failure),
55,Atrial Fibrillation,
56,Atrial Flutter,
57,Supraventricular Tachycardia (SVT),
58,Ventricular Tachycardia,
59,Bradycardia,
60,Heart Block,
61,Cardiomyopathy,
62,Pericarditis,
63,Endocarditis,
64,Valvular Heart Disease,
65,Aortic Stenosis,
66,Mitral Regurgitation,
67,Mitral Valve Prolapse,
68,Aortic Aneurysm,
69,Aortic Dissection,
70,Peripheral Artery Disease (PAD),
71,Deep Vein Thrombosis (DVT),
72,Pulmonary Embolism (PE),
73,Varicose Veins,
74,Chronic Venous Insufficiency,
75,Raynaud's Phenomenon,
76,Cerebrovascular Accident (Stroke),
77,Transient Ischemic Attack (TIA),
78,Asthma,
79,Chronic Obstructive Pulmonary Disease (COPD),
80,Emphysema,
81,Chronic Bronchitis,
82,Allergic Rhinitis (Hay Fever),
83,Sleep Apnea,
84,Pulmonary Fibrosis,
85,Sarcoidosis,
86,Pleural Effusion,
87,Pneumothorax,
88,Atelectasis,
89,Lung Cancer,
90,Type 2 Diabetes Mellitus,
91,Type 1 Diabetes Mellitus,
92,Gestational Diabetes,
93,Prediabetes,
94,Hypothyroidism,
95,Hyperthyroidism,
96,Hashimoto's Thyroiditis,
97,Graves' Disease,
98,Thyroid Nodule,
99,Goiter,
100,Cushing's Syndrome,
101,Addison's Disease,
102,Hyperparathyroidism,
103,Hypoparathyroidism,
104,Polycystic Ovary Syndrome (PCOS),
105,Hyperlipidemia (High Cholesterol),
106,Hypertriglyceridemia,
107,Obesity,
108,Metabolic Syndrome,
109,Vitamin D Deficiency,
110,Iron Deficiency Anemia,
111,Vitamin B12 Deficiency Anemia,
112,Folate Deficiency Anemia,
113,Gastroesophageal Reflux Disease (GERD),
114,Peptic Ulcer Disease,
115,Gastritis,
116,Helicobacter pylori Infection,
117,Irritable Bowel Syndrome (IBS),
118,Inflammatory Bowel Disease (IBD),
119,Crohn's Disease,
120,Ulcerative Colitis,
121,Celiac Disease,
122,Diverticulosis,
123,Diverticulitis,
124,Appendicitis,
125,Cholelithiasis (Gallstones),
126,Cholecystitis,
127,Pancreatitis,
128,Non-alcoholic Fatty Liver Disease (NAFLD),
129,Alcoholic Liver Disease,
130,Cirrhosis,
131,Hemorrhoids,
132,Anal Fissure,
133,Constipation,
134,Diarrhea,
135,Colorectal Cancer,
136,Pancreatic Cancer,
137,Esophageal Cancer,
138,Stomach Cancer,
139,Liver Cancer,
140,Benign Prostatic Hyperplasia (BPH),
141,Prostatitis,
142,Erectile Dysfunction,
143,Kidney Stones (Nephrolithiasis),
144,Chronic Kidney Disease (CKD),
145,Acute Kidney Injury (AKI),
146,Polycystic Kidney Disease,
147,Glomerulonephritis,
148,Nephrotic Syndrome,
149,Urinary Incontinence,
150,Overactive Bladder,
151,Bladder Cancer,
152,Prostate Cancer,
153,Kidney Cancer,
154,Testicular Cancer,
155,Osteoarthritis,
156,Rheumatoid Arthritis,
157,Psoriatic Arthritis,
158,Ankylosing Spondylitis,
159,Gout,
160,Pseudogout,
161,Systemic Lupus Erythematosus (SLE),
162,Sjogren's Syndrome,
163,Scleroderma,
164,Polymyalgia Rheumatica,
165,Giant Cell Arteritis,
166,Fibromyalgia,
167,Osteoporosis,
168,Osteopenia,
169,Back Pain,
