id,text,,
1,Blood Pressure: Normal,,
2,Blood Pressure: Elevated,,
3,Blood Pressure: Hypertensive (Stage 1),,
4,Blood Pressure: Hypertensive (Stage 2),,
5,Blood Pressure: Hypertensive Crisis,,
6,Blood Pressure: Hypotensive,,
7,Blood Pressure: Orthostatic Hypotension,,
8,Blood Pressure: Wide pulse pressure,,
9,Blood Pressure: Narrow pulse pressure,,
10,Blood Pressure: Asymmetric (difference between arms),,
11,Pulse Rate: Normal sinus rhythm,,
12,Pulse Rate: Tachycardia,,
13,Pulse Rate: Bradycardia,,
14,Pulse Rate: Irregularly irregular,,
15,Pulse Rate: Regularly irregular,,
16,Pulse Rate: Bounding,,
17,Pulse Rate: Thready,,
18,Pulse Rate: Pulsus paradoxus,,
19,Pulse Rate: Pulsus alternans,,
20,Pulse Rate: Water hammer pulse,,
21,Respiratory Rate: Normal (Eupnea),,
22,Respiratory Rate: Tachypnea,,
23,Respiratory Rate: Bradypnea,,
24,Respiratory Rate: Apnea,,
25,Respiratory Rate: Hyperpnea,,
26,Respiratory Rate: Cheyne-Stokes respirations,,
27,Respiratory Rate: Kussmaul respirations,,
28,Respiratory Rate: Biot's respirations,,
29,Respiratory Rate: Agonal breathing,,
30,Temperature: Normothermic,,
31,Temperature: Febrile (Fever),,
32,Temperature: Hyperpyrexia,,
33,Temperature: Hypothermic,,
34,Oxygen Saturation: Normal,,
35,Oxygen Saturation: Hypoxic,,
36,Weight: Normal for height,,
37,Weight: Underweight,,
38,Weight: Overweight,,
39,Weight: Obese (Class I),,
40,Weight: Obese (Class II),,
41,Weight: Obese (Class III / Morbidly Obese),,
42,Height: Within normal limits,,
43,Height: Short stature,,
44,Height: Tall stature,,
45,BMI: Normal,,
46,BMI: Underweight,,
47,BMI: Overweight,,
48,BMI: Obese,,
49,Pain Scale: 0/10 (No pain),,
50,Pain Scale: 1-3/10 (Mild pain),,
51,Pain Scale: 4-6/10 (Moderate pain),,
52,Pain Scale: 7-10/10 (Severe pain),,
53,"General: Well-appearing,  in no acute distress",,
54,General: Ill-appearing,,
55,General: Acutely distressed,,
56,General: Cachectic / Wasted appearance,,
57,General: Lethargic,,
58,General: Somnolent,,
59,General: Obtunded,,
60,General: Stuporous,,
61,General: Comatose,,
62,"General: Alert and oriented to person, place, time", , 
63,General: Confused / Disoriented,,
64,General: Well-nourished,,
65,General: Malnourished,,
66,General: Well-hydrated,,
67,General: Dehydrated,,
68,General: Body habitus: Slender,,
69,General: Body habitus: Muscular,,
70,General: Body habitus: Obese,,
71,General: Congenital anomalies visible,,
72,"General: Genetic features noted (e.g., Down syndrome facies)",,
73,Skin: Warm and dry,,
74,Skin: Cool,,
75,Skin: Clammy / Moist,,
76,Skin: Diaphoretic (sweating),,
77,Skin: Pale / Pallor,,
78,Skin: Cyanotic (central),,
79,Skin: Cyanotic (peripheral/acrocyanosis),,
80,Skin: Jaundiced / Icteric,,
81,Skin: Flushed / Erythematous,,
82,Skin: Mottled,,
83,Skin: Rash: Macular,,
84,Skin: Rash: Papular,,
85,Skin: Rash: Maculopapular,,
86,Skin: Rash: Vesicular,,
87,Skin: Rash: Pustular,,
88,Skin: Rash: Urticarial (hives),,
89,Skin: Lesion: Nodule,,
90,Skin: Lesion: Tumor,,
91,Skin: Lesion: Wheal,,
92,Skin: Lesion: Plaque,,
93,Skin: Lesion: Bulla,,
94,Skin: Lesion: Scale,,
95,Skin: Lesion: Crust,,
96,Skin: Lesion: Erosion,,
97,Skin: Lesion: Ulcer,,
98,Skin: Lesion: Fissure,,
99,Skin: Lesion: Atrophy,,
100,Skin: Lesion: Scar,,
101,Skin: Lesion: Keloid,,
102,Skin: Lesion: Cherry angioma,,
103,Skin: Lesion: Spider angioma,,
104,Skin: Lesion: Telangiectasia,,
105,Skin: Lesion: Nevus (mole),,
106,Skin: Bruising (ecchymosis),,
107,Skin: Petechiae,,
108,Skin: Purpura,,
109,Skin: Poor turgor,,
110,Skin: Tenting,,
111,Skin: Edema: Pitting,,
112,Skin: Edema: Non-pitting,,
113,Skin: Lymphedema,,
114,Skin: Striae (stretch marks),,
115,Skin: Tattoos,,
116,Skin: Piercings,,
117,Skin: Track marks,,
118,Nails: Normal,,
119,Nails: Clubbing,,
120,Nails: Koilonychia (spoon nails),,
121,Nails: Beau's lines,,
122,Nails: Terry's nails,,
123,Nails: Splinter hemorrhages,,
124,Nails: Pitting,,
125,Nails: Onycholysis,,
