id,text,,
1,Hypertension,,
2,Type 2 Diabetes,,
3,Type 1 Diabetes,,
4,High Cholesterol (Hyperlipidemia),,
5,Coronary Artery Disease,,
6,Myocardial Infarction (Heart Attack),,
7,Angina,,
8,Atrial Fibrillation,,
9,Heart Failure,,
10,Stroke (Cerebrovascular Accident),,
11,Transient Ischemic Attack (TIA),,
12,Asthma,,
13,Chronic Obstructive Pulmonary Disease (COPD),,
14,Emphysema,,
15,Chronic Bronchitis,,
16,Sleep Apnea,,
17,Hypothyroidism,,
18,Hyperthyroidism,,
19,Graves' Disease,,
20,Hashimoto's Thyroiditis,,
21,Osteoporosis,,
22,Osteoarthritis,,
23,Rheumatoid Arthritis,,
24,Gout,,
25,Lupus (Systemic Lupus Erythematosus),,
26,Chronic Kidney Disease,,
27,Kidney Stones,,
28,Gastroesophageal Reflux Disease (GERD),,
29,Peptic Ulcer Disease,,
30,Irritable Bowel Syndrome (IBS),,
31,Crohn's Disease,,
32,Ulcerative Colitis,,
33,Celiac Disease,,
34,Liver Cirrhosis,,
35,Hepatitis B,,
36,Hepatitis C,,
37,Anemia,,
38,Deep Vein Thrombosis (DVT),,
39,Pulmonary Embolism,,
40,Peripheral Artery Disease,,
41,Migraines,,
42,Seizure Disorder (Epilepsy),,
43,Parkinson's Disease,,
44,Alzheimer's Disease,,
45,Dementia,,
46,Multiple Sclerosis,,
47,Depression,,
48,Anxiety Disorder,,
49,Bipolar Disorder,,
50,Schizophrenia,,
51,PTSD,,
52,Substance Abuse Disorder,,
53,Alcoholism,,
54,Tobacco Use,,
55,Breast Cancer,,
56,Colon Cancer,,
57,Lung Cancer,,
58,Prostate Cancer,,
59,Skin Cancer (Melanoma),,
60,Skin Cancer (Non-melanoma),,
61,Leukemia,,
62,Lymphoma,,
63,Benign Prostatic Hyperplasia (BPH),,
64,Endometriosis,,
65,Polycystic Ovary Syndrome (PCOS),,
66,Uterine Fibroids,,
67,Glaucoma,,
68,Macular Degeneration,,
69,Cataracts,,
70,Hearing Loss,,
71,HIV/AIDS,,
72,Tuberculosis,,
73,Childhood Asthma,,
74,Rheumatic Fever,,
75,Polio,,
76,Chickenpox,,
77,Measles,,
78,Mumps,,
79,Rubella,,
80,Frequent Ear Infections,,
81,Pneumonia,,
82,Gallstones,,
83,Pancreatitis,,
84,Diverticulitis,,
85,Hernia,,
86,Anaphylaxis,,
87,Seasonal Allergies,,
88,Eczema (Atopic Dermatitis),,
89,Psoriasis,,
90,Sickle Cell Anemia,,
91,Thalassemia,,
92,Hemophilia,,
93,G6PD Deficiency,,
94,Fibromyalgia,,
95,Chronic Fatigue Syndrome,,
96,Interstitial Cystitis,,
97,Pelvic Inflammatory Disease,,
98,Sexually Transmitted Infection (STI),,
99,Eating disorder,,
100,Infertility,,
101,Appendectomy,,
102,Tonsillectomy,,
103,Adenoidectomy,,
104,Cholecystectomy (Gallbladder removal),,
105,Hysterectomy,,
106,Oophorectomy (Ovary removal),,
107,Salpingectomy (Fallopian tube removal),,
108,Mastectomy,,
109,Lumpectomy,,
110,Coronary Artery Bypass Grafting (CABG),,
111,Coronary Stent Placement,,
112,Pacemaker Implantation,,
113,Implantable Cardioverter-Defibrillator (ICD) placement,,
114,Heart Valve Replacement/Repair,,
115,Carotid Endarterectomy,,
116,Hernia Repair,,
117,Joint Replacement (Hip),,
118,Joint Replacement (Knee),,
119,Joint Replacement (Shoulder),,
120,Arthroscopic Knee Surgery,,
121,Arthroscopic Shoulder Surgery,,
122,Spinal Fusion,,
123,Laminectomy,,
124,Discectomy,,
125,Colectomy,,
126,Gastric Bypass Surgery,,
127,Sleeve Gastrectomy,,
128,Nephrectomy (Kidney removal),,
129,Prostatectomy,,
130,Transurethral Resection of the Prostate (TURP),,
131,Thyroidectomy,,
132,Cataract Surgery,,
133,LASIK Surgery,,
134,Tympanostomy Tube Placement,,
135,Cesarean Section,,
136,Dilation and Curettage (D&C),,
137,Exploratory Laparotomy,,
