id,text
1,Complete Blood Count (CBC)
2,White Blood Cell Count (WBC)
3,Red Blood Cell Count (RBC)
4,Hemoglobin (Hgb)
5,Hematocrit (Hct)
6,Mean Corpuscular Volume (MCV)
7,Mean Corpuscular Hemoglobin (MCH)
8,Mean Corpuscular Hemoglobin Concentration (MCHC)
9,Red Cell Distribution Width (RDW)
10,Platelet Count
11,Mean Platelet Volume (MPV)
12,White Blood Cell Differential
13,Neutrophils
14,Lymphocytes
15,Monocytes
16,Eosinophils
17,Basophils
18,Comprehensive Metabolic Panel (CMP)
19,Basic Metabolic Panel (BMP)
20,Glucose (Blood Sugar)
21,Fasting Blood Sugar (FBS)
22,2-hour Postprandial Blood Sugar (2hPPBS)
23,Oral Glucose Tolerance Test (OGTT)
24,Glycated Hemoglobin (HbA1c)
25,Sodium
26,Potassium
27,Chloride
28,Bicarbonate (CO2)
29,Blood Urea Nitrogen (BUN)
30,Creatinine
31,BUN/Creatinine Ratio
32,Estimated Glomerular Filtration Rate (eGFR)
33,Calcium
34,Total Protein
35,Albumin
36,Globulin
37,Albumin/Globulin Ratio
38,Alkaline Phosphatase (ALP)
39,Alanine Aminotransferase (ALT/SGPT)
40,Aspartate Aminotransferase (AST/SGOT)
41,Bilirubin (Total)
42,Bilirubin (Direct)
43,Bilirubin (Indirect)
44,Lipid Profile
45,Total Cholesterol
46,Triglycerides
47,High-Density Lipoprotein (HDL) Cholesterol
48,Low-Density Lipoprotein (LDL) Cholesterol
49,Very Low-Density Lipoprotein (VLDL) Cholesterol
50,Cholesterol/HDL Ratio
51,Kidney Function Test (KFT/RFT)
52,Liver Function Test (LFT)
53,Thyroid Function Test (TFT)
54,Thyroid Stimulating Hormone (TSH)
55,Free Thyroxine (Free T4)
56,Total Thyroxine (Total T4)
57,Free Triiodothyronine (Free T3)
58,Total Triiodothyronine (Total T3)
59,Reverse T3
60,Thyroglobulin Antibodies
61,Thyroid Peroxidase Antibodies (TPO)
62,Urinalysis (Urine Routine Examination)
63,Urine pH
64,Urine Specific Gravity
65,Urine Glucose
66,Urine Ketones
67,Urine Protein
68,Urine Bilirubin
69,Urine Urobilinogen
70,Urine Blood (Hemoglobin)
71,Urine Nitrite
72,Urine Leukocyte Esterase
73,Urine Microscopy (RBCs)
74,Urine Microscopy (WBCs)
75,Urine Microscopy (Epithelial Cells)
76,Urine Microscopy (Casts)
77,Urine Microscopy (Crystals)
78,Urine Microscopy (Bacteria)
79,Urine Culture and Sensitivity
80,24-Hour Urine Protein
81,Urine Microalbumin
82,Urine Albumin-to-Creatinine Ratio (ACR)
83,Prothrombin Time (PT)
84,International Normalized Ratio (INR)
85,Activated Partial Thromboplastin Time (aPTT)
86,Fibrinogen
87,D-dimer
88,Erythrocyte Sedimentation Rate (ESR)
89,"C-Reactive Protein (CRP), High-Sensitivity (hs-CRP)"
90,Uric Acid
91,Magnesium
92,Phosphate
93,Lactate Dehydrogenase (LDH)
94,Creatine Kinase (CK/CPK)
95,Creatine Kinase-MB (CK-MB)
96,Troponin I
97,Troponin T
98,Brain Natriuretic Peptide (BNP)
99,N-terminal pro-BNP (NT-proBNP)
100,Amylase
101,Lipase
102,Iron
103,Total Iron Binding Capacity (TIBC)
104,Transferrin Saturation
105,Ferritin
106,Vitamin B12
107,Folate (Folic Acid)
108,"Vitamin D, 25-Hydroxy"
109,Parathyroid Hormone (PTH)
110,Cortisol (AM/PM)
111,Adrenocorticotropic Hormone (ACTH)
112,Aldosterone
113,Renin
114,Testosterone (Total)
115,Testosterone (Free)
116,Luteinizing Hormone (LH)
117,Follicle-Stimulating Hormone (FSH)
118,Estradiol
119,Progesterone
120,Prolactin
121,Human Growth Hormone (HGH)
122,Insulin-like Growth Factor 1 (IGF-1)
123,Insulin
124,C-Peptide
125,Blood Grouping and Rh Typing
126,Direct Coombs Test
127,Indirect Coombs Test
128,Reticulocyte Count
129,Hemoglobin Electrophoresis
130,Glucose-6-Phosphate Dehydrogenase (G6PD)
131,"Hepatitis A Antibody (IgM, IgG)"
132,Hepatitis B Surface Antigen (HBsAg)
133,Hepatitis B Surface Antibody (anti-HBs)
134,Hepatitis B Core Antibody (anti-HBc)
135,Hepatitis B e-Antigen (HBeAg)
136,Hepatitis B e-Antibody (anti-HBe)
137,Hepatitis B DNA (Viral Load)
138,Hepatitis C Antibody (anti-HCV)
139,Hepatitis C RNA (Viral Load)
140,HIV-1/2 Antibody and p24 Antigen Test
141,HIV RNA (Viral Load)
142,CD4 Lymphocyte Count
143,VDRL (Veneral Disease Research Laboratory)
144,RPR (Rapid Plasma Reagin)
145,TP-PA (Treponema pallidum Particle Agglutination)
146,"Herpes Simplex Virus (HSV) 1/2 IgG, IgM"
147,"Varicella-Zoster Virus (VZV) IgG, IgM"
148,"Cytomegalovirus (CMV) IgG, IgM"
149,Epstein-Barr Virus (EBV) Panel
150,"Rubella IgG, IgM"
